case_id	case_version	parent_test_id	ledger_entry	requirement	classification	applicability	oracle_id	oracle_version	oracle_type	oracle	evidence_requirement	pass_fail_rule	certification_impact	dependencies
MEM-001-P0011	1.0.0	MEM-001	0011	First default FCB location	REQUIRED	generic CP/M 2.2 baseline	OR-0011	1.0.0	positive predicate	A transient with a first file operand finds its default FCB beginning at 005Ch.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0012	1.0.0	MEM-005	0012	Second default FCB at 006Ch	PROFILE REQUIRED	the Strict DRI CCP/ecosystem	OR-0012	1.0.0	profile-gated positive	Activate two-operand 005Ch/006Ch comparison only for the strict CCP profile.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle under the selected named profile.	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.	MEM-001; BIOS-001 as applicable
CCP-003-P0013	1.0.0	CCP-003	0013	Default FCB drive-prefix parsing	REQUIRED	generic CP/M 2.2 baseline	OR-0013	1.0.0	positive predicate	Test independently with explicit drive prefixes.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0014	1.0.0	MEM-001	0014	Default FCB wildcard expansion	REQUIRED	generic CP/M 2.2 baseline	OR-0014	1.0.0	positive predicate	Test '*' and '?' cases independently.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0015	1.0.0	MEM-005	0015	Default FCB case and padding	REQUIRED	generic CP/M 2.2 baseline	OR-0015	1.0.0	positive predicate	Compare resulting filename/type bytes for representative operands.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0016	1.0.0	CCP-003	0016	Default FCB unopened control fields	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0016	1.0.0	permitted variation	Require filename/type parsing; accept variation in other unopened fields.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0017	1.0.0	MEM-001	0017	Command-tail count location	REQUIRED	generic CP/M 2.2 baseline	OR-0017	1.0.0	positive predicate	0080h contains the count for the supplied command tail.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0018	1.0.0	MEM-005	0018	Command-tail character location	REQUIRED	generic CP/M 2.2 baseline	OR-0018	1.0.0	positive predicate	The counted command characters occupy the documented buffer.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0019	1.0.0	CCP-003	0019	Leading blank in command tail	REQUIRED	generic CP/M 2.2 baseline	OR-0019	1.0.0	positive predicate	Positive mixed-command test must require the leading counted blank.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0020	1.0.0	MEM-001	0020	Uppercase command-tail representation	REQUIRED	generic CP/M 2.2 baseline	OR-0020	1.0.0	positive predicate	Mixed-case acquisition test must verify uppercase tail bytes.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0021	1.0.0	MEM-005	0021	NUL after counted command tail	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0021	1.0.0	permitted variation	Tests must use the count and must not require or consume a terminator.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	MEM-001; BIOS-001 as applicable
CCP-003-P0022	1.0.0	CCP-003	0022	Bytes following command-tail terminator	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0022	1.0.0	anti-requirement	Tests may report these bytes diagnostically but must not require a particular value.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0023	1.0.0	MEM-001	0023	Default DMA address	REQUIRED	generic CP/M 2.2 baseline	OR-0023	1.0.0	positive predicate	The first disk operation using the unchanged default DMA operates on 0080h.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0024	1.0.0	MEM-005	0024	Command-tail/default-DMA overlap	REQUIRED	generic CP/M 2.2 baseline	OR-0024	1.0.0	positive predicate	Initial contents of the default DMA buffer are the command tail, not an implied disk record.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0025	1.0.0	CCP-003	0025	Program termination through JMP 0000h	REQUIRED	generic CP/M 2.2 baseline	OR-0025	1.0.0	positive predicate	JMP 0000h regains the command environment with warm-start semantics.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0026	1.0.0	MEM-001	0026	Program termination through BDOS function 0	REQUIRED	generic CP/M 2.2 baseline	OR-0026	1.0.0	positive predicate	Function 0 regains the command environment with warm-start semantics.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
MEM-005-P0027	1.0.0	MEM-005	0027	RET termination	REQUIRED	generic CP/M 2.2 baseline	OR-0027	1.0.0	positive predicate	A minimal transient containing RET returns safely to the command environment without requiring BIOS warm start.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
CCP-003-P0028	1.0.0	CCP-003	0028	Valid entry return word	REQUIRED	generic CP/M 2.2 baseline	OR-0028	1.0.0	positive predicate	RET from entry succeeds using the supplied return word.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0029	1.0.0	MEM-001	0029	Exact entry SP	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0029	1.0.0	anti-requirement	Software may rely on a usable return stack but not on a particular SP value.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	profile manifest; restored fixture
MEM-005-P0030	1.0.0	MEM-005	0030	Exact entry return address	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0030	1.0.0	anti-requirement	The return word must function correctly but need not point to the same numeric address or CCP routine as DRI CP/M.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	MEM-001; BIOS-001 as applicable
CCP-003-P0031	1.0.0	CCP-003	0031	General-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0031	1.0.0	permitted variation	BetterCP/M may expose different residual values.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	MEM-001; BDOS public/file/console prerequisites used by case
MEM-001-P0032	1.0.0	MEM-001	0032	Z80 extended-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0032	1.0.0	permitted variation	BetterCP/M may expose different residual values.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
MEM-005-P0033	1.0.0	MEM-005	0033	Entry flags and interrupt state	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0033	1.0.0	permitted variation	Programs must not rely upon the reference system's observed values.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	MEM-001; BIOS-001 as applicable
BDOS-CALL-001-P0034	1.0.0	BDOS-CALL-001	0034	Exact BIOS/BDOS vector targets	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0034	1.0.0	anti-requirement	Test the gateway semantics, not particular target addresses.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0035	1.0.0	BDOS-CALL-001	0035	BDOS function selector in C	REQUIRED	generic CP/M 2.2 baseline	OR-0035	1.0.0	positive predicate	Every implemented BDOS function interprets C as the selector.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0036	1.0.0	BDOS-CALL-001	0036	BDOS function-specific input in DE/E	REQUIRED	generic CP/M 2.2 baseline	OR-0036	1.0.0	positive predicate	Representative functions correctly consume their documented DE/E input.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0037	1.0.0	BDOS-CALL-001	0037	Byte result in A	REQUIRED	generic CP/M 2.2 baseline	OR-0037	1.0.0	positive predicate	Byte-returning functions are checked independently in A.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0038	1.0.0	BDOS-CALL-001	0038	Word result in HL	REQUIRED	generic CP/M 2.2 baseline	OR-0038	1.0.0	positive predicate	Word-returning functions are checked independently in HL.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0039	1.0.0	BDOS-CALL-001	0039	Normal-return alias A=L	REQUIRED	generic CP/M 2.2 baseline	OR-0039	1.0.0	positive predicate	Assert A=L on every returning baseline function, including error returns.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0040	1.0.0	BDOS-CALL-001	0040	Normal-return alias B=H	REQUIRED	generic CP/M 2.2 baseline	OR-0040	1.0.0	positive predicate	Assert B=H on every returning baseline function.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0041	1.0.0	BDOS-CALL-001	0041	CP/M 2.2 BDOS selector range	REQUIRED	generic CP/M 2.2 baseline	OR-0041	1.0.0	positive predicate	Baseline functions 0-40 are accounted for individually.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0042	1.0.0	BDOS-CALL-001	0042	Out-of-range BDOS result	REQUIRED	generic CP/M 2.2 baseline	OR-0042	1.0.0	positive predicate	Test representative selectors including 41, 42, 7Fh, 80h, and FFh.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0043	1.0.0	BDOS-CALL-001	0043	Caller SP restored on returning BDOS calls	REQUIRED	generic CP/M 2.2 baseline	OR-0043	1.0.0	positive predicate	Verify pre-call and post-return SP are equal for returning functions.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	profile manifest; restored fixture
BDOS-CALL-001-P0044	1.0.0	BDOS-CALL-001	0044	DRI private BDOS stack mechanism	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0044	1.0.0	anti-requirement	Do not test DRI internal stack addresses or implementation.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0045	1.0.0	BDOS-CALL-001	0045	AF preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0045	1.0.0	permitted variation	Callers must treat unspecified AF/flags state as clobbered.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0046	1.0.0	BDOS-CALL-001	0046	BC preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0046	1.0.0	permitted variation	Callers must not depend upon BC preservation.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0047	1.0.0	BDOS-CALL-001	0047	DE preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0047	1.0.0	permitted variation	Callers must not depend upon DE preservation.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0048	1.0.0	BDOS-CALL-001	0048	HL preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0048	1.0.0	permitted variation	Callers must not depend upon prior HL surviving a call.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0049	1.0.0	BDOS-CALL-001	0049	Z80-only and alternate-register preservation	NOT GUARANTEED	generic CP/M 2.2 baseline	OR-0049	1.0.0	permitted variation	Diagnostic tests may report changes but must not fail because BetterCP/M clobbers these registers.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.	profile manifest; restored fixture
BDOS-CALL-001-P0050	1.0.0	BDOS-CALL-001	0050	Valid-call C becomes input E	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0050	1.0.0	anti-requirement	Applications must not rely upon returned C mirroring the input E value.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	profile manifest; restored fixture
BDOS-CON-001-P0051	1.0.0	BDOS-CON-001	0051	Observed BDOS return flags	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	OR-0051	1.0.0	anti-requirement	Generic BDOS tests do not require the DRI reference flags.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0052	1.0.0	BDOS-CON-001	0052	Function 2 character source	REQUIRED	generic CP/M 2.2 baseline	OR-0052	1.0.0	positive predicate	Representative byte values supplied in E are emitted through the formatted console-output path.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0053	1.0.0	BDOS-CON-001	0053	Function 2 treats '$' as ordinary data	REQUIRED	generic CP/M 2.2 baseline	OR-0053	1.0.0	positive predicate	Function 2 with E='$' emits '$'.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0054	1.0.0	BDOS-CON-001	0054	Function 9 string address	REQUIRED	generic CP/M 2.2 baseline	OR-0054	1.0.0	positive predicate	Output begins with the byte at the supplied DE address.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0055	1.0.0	BDOS-CON-001	0055	Function 9 '$' termination	REQUIRED	generic CP/M 2.2 baseline	OR-0055	1.0.0	positive predicate	Bytes following the first '$' are not emitted by that call.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0056	1.0.0	BDOS-CON-001	0056	Function 9 terminator is not emitted	REQUIRED	generic CP/M 2.2 baseline	OR-0056	1.0.0	positive predicate	The terminating '$' does not appear in the console stream.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0057	1.0.0	BDOS-CON-001	0057	Function 9 empty string	REQUIRED	generic CP/M 2.2 baseline	OR-0057	1.0.0	positive predicate	A string beginning with '$' produces empty output.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0058	1.0.0	BDOS-CON-001	0058	Function 9 scans across ordinary control characters	REQUIRED	generic CP/M 2.2 baseline	OR-0058	1.0.0	positive predicate	A function 9 string containing embedded CR/LF continues until the first '$'.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
BDOS-CON-001-P0059	1.0.0	BDOS-CON-001	0059	Function 2 uses formatted console output	REQUIRED	generic CP/M 2.2 baseline	OR-0059	1.0.0	positive predicate	Function 2 participates in the documented formatted-output behaviors tested separately below.	Campaign manifest; raw observation; runner/probe source and executable hashes; fixture/profile identity; result record; before/after state for mutable media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	A FAIL defeats baseline certification; BLOCKED prevents certification.	MEM-001; BIOS-001 as applicable
