ledger_entry	requirement	classification	applicability	parent_test_id	case_id	oracle_id	certification_impact
0031	General-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	CCP-003	CCP-003-P0031	OR-0031	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0032	Z80 extended-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001	MEM-001-P0032	OR-0032	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0033	Entry flags and interrupt state	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-005	MEM-005-P0033	OR-0033	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0034	Exact BIOS/BDOS vector targets	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001	BDOS-CALL-001-P0034	OR-0034	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0035	BDOS function selector in C	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0035	OR-0035	A FAIL defeats baseline certification; BLOCKED prevents certification.
0036	BDOS function-specific input in DE/E	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0036	OR-0036	A FAIL defeats baseline certification; BLOCKED prevents certification.
0037	Byte result in A	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0037	OR-0037	A FAIL defeats baseline certification; BLOCKED prevents certification.
0038	Word result in HL	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0038	OR-0038	A FAIL defeats baseline certification; BLOCKED prevents certification.
0039	Normal-return alias A=L	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0039	OR-0039	A FAIL defeats baseline certification; BLOCKED prevents certification.
0040	Normal-return alias B=H	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0040	OR-0040	A FAIL defeats baseline certification; BLOCKED prevents certification.
0041	CP/M 2.2 BDOS selector range	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0041	OR-0041	A FAIL defeats baseline certification; BLOCKED prevents certification.
0042	Out-of-range BDOS result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0042	OR-0042	A FAIL defeats baseline certification; BLOCKED prevents certification.
0043	Caller SP restored on returning BDOS calls	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0043	OR-0043	A FAIL defeats baseline certification; BLOCKED prevents certification.
0044	DRI private BDOS stack mechanism	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001	BDOS-CALL-001-P0044	OR-0044	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0045	AF preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0045	OR-0045	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0046	BC preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0046	OR-0046	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0047	DE preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0047	OR-0047	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0048	HL preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0048	OR-0048	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0049	Z80-only and alternate-register preservation	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001	BDOS-CALL-001-P0049	OR-0049	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0050	Valid-call C becomes input E	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001	BDOS-CALL-001-P0050	OR-0050	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0051	Observed BDOS return flags	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-001	BDOS-CON-001-P0051	OR-0051	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0052	Function 2 character source	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0052	OR-0052	A FAIL defeats baseline certification; BLOCKED prevents certification.
0053	Function 2 treats '$' as ordinary data	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0053	OR-0053	A FAIL defeats baseline certification; BLOCKED prevents certification.
0054	Function 9 string address	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0054	OR-0054	A FAIL defeats baseline certification; BLOCKED prevents certification.
0055	Function 9 '$' termination	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0055	OR-0055	A FAIL defeats baseline certification; BLOCKED prevents certification.
0056	Function 9 terminator is not emitted	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0056	OR-0056	A FAIL defeats baseline certification; BLOCKED prevents certification.
0057	Function 9 empty string	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0057	OR-0057	A FAIL defeats baseline certification; BLOCKED prevents certification.
0058	Function 9 scans across ordinary control characters	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0058	OR-0058	A FAIL defeats baseline certification; BLOCKED prevents certification.
0059	Function 2 uses formatted console output	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0059	OR-0059	A FAIL defeats baseline certification; BLOCKED prevents certification.
0060	Function 9 uses formatted console output	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0060	OR-0060	A FAIL defeats baseline certification; BLOCKED prevents certification.
0061	Shared formatted-output state	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0061	OR-0061	A FAIL defeats baseline certification; BLOCKED prevents certification.
0062	TAB expansion	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0062	OR-0062	A FAIL defeats baseline certification; BLOCKED prevents certification.
0063	Function 2 participates in scrolling control	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0063	OR-0063	A FAIL defeats baseline certification; BLOCKED prevents certification.
0064	Function 9 participates in scrolling control	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0064	OR-0064	A FAIL defeats baseline certification; BLOCKED prevents certification.
0065	Function 2 participates in active printer echo	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0065	OR-0065	A FAIL defeats baseline certification; BLOCKED prevents certification.
0066	Function 9 participates in active printer echo	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0066	OR-0066	A FAIL defeats baseline certification; BLOCKED prevents certification.
0067	Function 2 has no function-specific return value	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0067	OR-0067	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0068	Function 9 has no function-specific return value	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0068	OR-0068	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0069	Exact logical-column update rules	PROFILE REQUIRED	the DRI formatted-console profile	BDOS-CON-001	BDOS-CON-001-P0069	OR-0069	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0070	LF resets DRI logical column	PROFILE REQUIRED	the DRI formatted-console profile	BDOS-CON-001	BDOS-CON-001-P0070	OR-0070	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0071	CR does not reset DRI logical column	PROFILE REQUIRED	the DRI formatted-console profile	BDOS-CON-001	BDOS-CON-001-P0071	OR-0071	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0072	Pending-key buffering during formatted output	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0072	OR-0072	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0073	Ctrl-C behavior after output pause	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-001	BDOS-CON-001-P0073	OR-0073	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0074	DRI private formatted-output implementation state	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-002	BDOS-CON-002-P0074	OR-0074	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0075	Function 6 direct-output selection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0075	OR-0075	A FAIL defeats baseline certification; BLOCKED prevents certification.
0076	Function 6 direct-output character source	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0076	OR-0076	A FAIL defeats baseline certification; BLOCKED prevents certification.
0077	Function 6 direct output does not expand TAB	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0077	OR-0077	A FAIL defeats baseline certification; BLOCKED prevents certification.
0078	Function 6 direct output bypasses Ctrl-S scrolling control	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0078	OR-0078	A FAIL defeats baseline certification; BLOCKED prevents certification.
0079	Function 6 direct output bypasses Ctrl-P printer echo	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0079	OR-0079	A FAIL defeats baseline certification; BLOCKED prevents certification.
0080	Function 6 direct output has no function-specific result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0080	OR-0080	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0081	Function 6 nonblocking-input selection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0081	OR-0081	A FAIL defeats baseline certification; BLOCKED prevents certification.
0082	Function 6 no-input result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0082	OR-0082	A FAIL defeats baseline certification; BLOCKED prevents certification.
0083	Function 6 ready-input result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0083	OR-0083	A FAIL defeats baseline certification; BLOCKED prevents certification.
0084	Function 6 input is unadorned	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0084	OR-0084	A FAIL defeats baseline certification; BLOCKED prevents certification.
0085	Function 11 not-ready result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0085	OR-0085	A FAIL defeats baseline certification; BLOCKED prevents certification.
0086	Exact function 11 ready result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0086	OR-0086	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0087	Function 11 pending-byte retention	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-005	BDOS-CON-005-P0087	OR-0087	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0088	DRI function 6 ignores retained pending byte	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-002	BDOS-CON-002-P0088	OR-0088	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0089	DRI function 6 E=FEh behavior	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-005	BDOS-CON-005-P0089	OR-0089	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0090	DRI private pending-byte representation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-003	BDOS-CON-003-P0090	OR-0090	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0091	Function 1 selector	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0091	OR-0091	A FAIL defeats baseline certification; BLOCKED prevents certification.
0092	Function 1 blocking behavior	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0092	OR-0092	A FAIL defeats baseline certification; BLOCKED prevents certification.
0093	Function 1 result character	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0093	OR-0093	A FAIL defeats baseline certification; BLOCKED prevents certification.
0094	Function 1 echoes graphic characters	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0094	OR-0094	A FAIL defeats baseline certification; BLOCKED prevents certification.
0095	Function 1 echoes CR	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0095	OR-0095	A FAIL defeats baseline certification; BLOCKED prevents certification.
0096	Function 1 echoes LF	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0096	OR-0096	A FAIL defeats baseline certification; BLOCKED prevents certification.
0097	Function 1 echoes backspace	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0097	OR-0097	A FAIL defeats baseline certification; BLOCKED prevents certification.
0098	Function 1 TAB echo expansion	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0098	OR-0098	A FAIL defeats baseline certification; BLOCKED prevents certification.
0099	Function 1 ordinary controls are not echoed	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0099	OR-0099	A FAIL defeats baseline certification; BLOCKED prevents certification.
0100	Function 1 echo uses shared formatted-console state	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0100	OR-0100	A FAIL defeats baseline certification; BLOCKED prevents certification.
0101	Function 1 echo participates in scrolling control	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0101	OR-0101	A FAIL defeats baseline certification; BLOCKED prevents certification.
0102	Function 1 echo participates in active printer echo	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-003	BDOS-CON-003-P0102	OR-0102	A FAIL defeats baseline certification; BLOCKED prevents certification.
0103	Function-1 Ctrl-P printer-echo state change	PROFILE REQUIRED	the DRI formatted-console profile	BDOS-CON-003	BDOS-CON-003-P0103	OR-0103	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0104	Function 1 consumes function-11-retained input	PROFILE REQUIRED	the DRI formatted-console profile	BDOS-CON-003	BDOS-CON-003-P0104	OR-0104	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0105	DRI private function-1 implementation details	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-004	BDOS-CON-004-P0105	OR-0105	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0106	Function 10 selector and buffer address	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0106	OR-0106	A FAIL defeats baseline certification; BLOCKED prevents certification.
0107	Function 10 maximum byte	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0107	OR-0107	A FAIL defeats baseline certification; BLOCKED prevents certification.
0108	Function 10 returned count	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0108	OR-0108	A FAIL defeats baseline certification; BLOCKED prevents certification.
0109	Function 10 returned data location	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0109	OR-0109	A FAIL defeats baseline certification; BLOCKED prevents certification.
0110	Bytes beyond function-10 returned count	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0110	OR-0110	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0111	Function 10 CR termination	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0111	OR-0111	A FAIL defeats baseline certification; BLOCKED prevents certification.
0112	Function 10 LF termination	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0112	OR-0112	A FAIL defeats baseline certification; BLOCKED prevents certification.
0113	Function 10 capacity termination	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0113	OR-0113	A FAIL defeats baseline certification; BLOCKED prevents certification.
0114	Function 10 ordinary-character storage and echo	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0114	OR-0114	A FAIL defeats baseline certification; BLOCKED prevents certification.
0115	Function 10 backspace editing	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0115	OR-0115	A FAIL defeats baseline certification; BLOCKED prevents certification.
0116	Function 10 DEL editing	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0116	OR-0116	A FAIL defeats baseline certification; BLOCKED prevents certification.
0117	Function 10 initial Ctrl-C warm restart	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0117	OR-0117	A FAIL defeats baseline certification; BLOCKED prevents certification.
0118	Function 10 Ctrl-E line continuation	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0118	OR-0118	A FAIL defeats baseline certification; BLOCKED prevents certification.
0119	Function 10 Ctrl-R redisplay	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0119	OR-0119	A FAIL defeats baseline certification; BLOCKED prevents certification.
0120	Function 10 Ctrl-U line deletion	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0120	OR-0120	A FAIL defeats baseline certification; BLOCKED prevents certification.
0121	Function 10 Ctrl-X line deletion	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0121	OR-0121	A FAIL defeats baseline certification; BLOCKED prevents certification.
0122	Function 10 starting-column-relative editing	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0122	OR-0122	A FAIL defeats baseline certification; BLOCKED prevents certification.
0123	Function 10 stores no line terminator	REQUIRED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0123	OR-0123	A FAIL defeats baseline certification; BLOCKED prevents certification.
0124	Function 10 has no function-specific register result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CON-004	BDOS-CON-004-P0124	OR-0124	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0125	Function 10 Ctrl-P exclusion and printer-echo toggle	PROFILE REQUIRED	the DRI line-editor profile	BDOS-CON-004	BDOS-CON-004-P0125	OR-0125	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0126	Function 10 post-Ctrl-P echo state	PROFILE REQUIRED	the DRI line-editor profile	BDOS-CON-004	BDOS-CON-004-P0126	OR-0126	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0127	Function 10 seven-bit input masking	PROFILE REQUIRED	the DRI line-editor profile	BDOS-CON-004	BDOS-CON-004-P0127	OR-0127	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0128	Function 10 exact correction-display bytes	PROFILE REQUIRED	the DRI line-editor presentation profile	BDOS-CON-004	BDOS-CON-004-P0128	OR-0128	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0129	Function 10 noninitial Ctrl-C behavior	PROFILE REQUIRED	the DRI line-editor profile	BDOS-CON-004	BDOS-CON-004-P0129	OR-0129	A FAIL defeats that profile claim; NOT APPLICABLE is permitted only when the profile is not claimed.
0130	DRI private function-10 editor organization	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CON-004	BDOS-CON-004-P0130	OR-0130	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0131	DRI function-10 zero common result	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-STATE-002	BDOS-STATE-002-P0131	OR-0131	Never a positive baseline gate; an attempted mandatory assertion is a framework-definition FAIL.
0132	Function 13 selector	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0132	OR-0132	A FAIL defeats baseline certification; BLOCKED prevents certification.
0133	Function 13 read/write reset	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0133	OR-0133	A FAIL defeats baseline certification; BLOCKED prevents certification.
0134	Function 13 selects drive A	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0134	OR-0134	A FAIL defeats baseline certification; BLOCKED prevents certification.
0135	Function 13 restores default DMA	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0135	OR-0135	A FAIL defeats baseline certification; BLOCKED prevents certification.
0136	Function 13 resets login vector	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0136	OR-0136	A FAIL defeats baseline certification; BLOCKED prevents certification.
0137	Function 13 function-specific result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0137	OR-0137	A candidate is not failed for differing from DRI; a contradictory portability guarantee is a framework FAIL.
0138	Function 14 selector	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0138	OR-0138	A FAIL defeats baseline certification; BLOCKED prevents certification.
0139	Function 14 drive numbering	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0139	OR-0139	A FAIL defeats baseline certification; BLOCKED prevents certification.
0140	Function 14 changes current disk	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0140	OR-0140	A FAIL defeats baseline certification; BLOCKED prevents certification.
0141	Function 14 logs selected drive	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0141	OR-0141	A FAIL defeats baseline certification; BLOCKED prevents certification.
0142	Login vector is cumulative	REQUIRED	generic CP/M 2.2 baseline	BDOS-STATE-002	BDOS-STATE-002-P0142	OR-0142	A FAIL defeats baseline certification; BLOCKED prevents certification.
