oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0011	1.0.0	0011	positive predicate	A transient with a first file operand finds its default FCB beginning at 005Ch.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0012	1.0.0	0012	profile-gated positive	Activate two-operand 005Ch/006Ch comparison only for the strict CCP profile.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Strict DRI CCP/ecosystem
OR-0013	1.0.0	0013	positive predicate	Test independently with explicit drive prefixes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0014	1.0.0	0014	positive predicate	Test '*' and '?' cases independently.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0015	1.0.0	0015	positive predicate	Compare resulting filename/type bytes for representative operands.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0016	1.0.0	0016	permitted variation	Require filename/type parsing; accept variation in other unopened fields.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0017	1.0.0	0017	positive predicate	0080h contains the count for the supplied command tail.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0018	1.0.0	0018	positive predicate	The counted command characters occupy the documented buffer.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0019	1.0.0	0019	positive predicate	Positive mixed-command test must require the leading counted blank.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0020	1.0.0	0020	positive predicate	Mixed-case acquisition test must verify uppercase tail bytes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0021	1.0.0	0021	permitted variation	Tests must use the count and must not require or consume a terminator.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0022	1.0.0	0022	anti-requirement	Tests may report these bytes diagnostically but must not require a particular value.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0023	1.0.0	0023	positive predicate	The first disk operation using the unchanged default DMA operates on 0080h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0024	1.0.0	0024	positive predicate	Initial contents of the default DMA buffer are the command tail, not an implied disk record.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0025	1.0.0	0025	positive predicate	JMP 0000h regains the command environment with warm-start semantics.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0026	1.0.0	0026	positive predicate	Function 0 regains the command environment with warm-start semantics.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0027	1.0.0	0027	positive predicate	A minimal transient containing RET returns safely to the command environment without requiring BIOS warm start.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0028	1.0.0	0028	positive predicate	RET from entry succeeds using the supplied return word.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0029	1.0.0	0029	anti-requirement	Software may rely on a usable return stack but not on a particular SP value.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0030	1.0.0	0030	anti-requirement	The return word must function correctly but need not point to the same numeric address or CCP routine as DRI CP/M.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0031	1.0.0	0031	permitted variation	BetterCP/M may expose different residual values.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0032	1.0.0	0032	permitted variation	BetterCP/M may expose different residual values.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0033	1.0.0	0033	permitted variation	Programs must not rely upon the reference system's observed values.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0034	1.0.0	0034	anti-requirement	Test the gateway semantics, not particular target addresses.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0035	1.0.0	0035	positive predicate	Every implemented BDOS function interprets C as the selector.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0036	1.0.0	0036	positive predicate	Representative functions correctly consume their documented DE/E input.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0037	1.0.0	0037	positive predicate	Byte-returning functions are checked independently in A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0038	1.0.0	0038	positive predicate	Word-returning functions are checked independently in HL.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0039	1.0.0	0039	positive predicate	Assert A=L on every returning baseline function, including error returns.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0040	1.0.0	0040	positive predicate	Assert B=H on every returning baseline function.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0041	1.0.0	0041	positive predicate	Baseline functions 0-40 are accounted for individually.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0042	1.0.0	0042	positive predicate	Test representative selectors including 41, 42, 7Fh, 80h, and FFh.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0043	1.0.0	0043	positive predicate	Verify pre-call and post-return SP are equal for returning functions.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0044	1.0.0	0044	anti-requirement	Do not test DRI internal stack addresses or implementation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0045	1.0.0	0045	permitted variation	Callers must treat unspecified AF/flags state as clobbered.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0046	1.0.0	0046	permitted variation	Callers must not depend upon BC preservation.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0047	1.0.0	0047	permitted variation	Callers must not depend upon DE preservation.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0048	1.0.0	0048	permitted variation	Callers must not depend upon prior HL surviving a call.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0049	1.0.0	0049	permitted variation	Diagnostic tests may report changes but must not fail because BetterCP/M clobbers these registers.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0050	1.0.0	0050	anti-requirement	Applications must not rely upon returned C mirroring the input E value.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0051	1.0.0	0051	anti-requirement	Generic BDOS tests do not require the DRI reference flags.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0052	1.0.0	0052	positive predicate	Representative byte values supplied in E are emitted through the formatted console-output path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0053	1.0.0	0053	positive predicate	Function 2 with E='$' emits '$'.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0054	1.0.0	0054	positive predicate	Output begins with the byte at the supplied DE address.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0055	1.0.0	0055	positive predicate	Bytes following the first '$' are not emitted by that call.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0056	1.0.0	0056	positive predicate	The terminating '$' does not appear in the console stream.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0057	1.0.0	0057	positive predicate	A string beginning with '$' produces empty output.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0058	1.0.0	0058	positive predicate	A function 9 string containing embedded CR/LF continues until the first '$'.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0059	1.0.0	0059	positive predicate	Function 2 participates in the documented formatted-output behaviors tested separately below.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0060	1.0.0	0060	positive predicate	Function 9 participates in the same formatted-output state and transformations as function 2.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0061	1.0.0	0061	positive predicate	Output by one function affects subsequent formatting by the other where the formatting rule depends on prior output state.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0062	1.0.0	0062	positive predicate	TABs at known logical columns expand to the required number of spaces to reach the next eight-column stop.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0063	1.0.0	0063	positive predicate	A deterministic keyboard-input harness should verify the documented scrolling-control behavior.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0064	1.0.0	0064	positive predicate	A deterministic keyboard-input harness should verify the documented scrolling-control behavior during function 9.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0065	1.0.0	0065	positive predicate	With printer echo enabled, function-2 output appears at the logical printer as well as the console.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0066	1.0.0	0066	positive predicate	With printer echo enabled, function-9 output appears at the logical printer as well as the console.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0067	1.0.0	0067	permitted variation	Tests must not require a function-2-specific result value.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0068	1.0.0	0068	permitted variation	Tests must not require a function-9-specific result value.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0069	1.0.0	0069	profile-gated positive	Profile test exercises the complete character-by-character column state machine.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI formatted-console profile
OR-0070	1.0.0	0070	profile-gated positive	Profile test separates LF state change from emitted LF byte.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI formatted-console profile
OR-0071	1.0.0	0071	profile-gated positive	Profile test emits CR then probes later column-dependent output.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI formatted-console profile
OR-0072	1.0.0	0072	permitted variation	No baseline assertion about retained key or BIOS call count.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0073	1.0.0	0073	permitted variation	Exclude exact post-pause timing/state from certification; retain diagnostic coverage.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0074	1.0.0	0074	anti-requirement	Do not test private DRI variable locations or internal implementation structure.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0075	1.0.0	0075	positive predicate	Representative valid ASCII characters with E not FFh select the direct-output path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0076	1.0.0	0076	positive predicate	Representative characters supplied in E are emitted unchanged through the logical-console output path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0077	1.0.0	0077	positive predicate	E=09h reaches console output as a TAB byte rather than a sequence of spaces.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0078	1.0.0	0078	positive predicate	Direct output is not interpreted by the BDOS formatted-output Ctrl-S path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0079	1.0.0	0079	positive predicate	Direct function-6 output remains absent from LIST while formatted output is echoed there.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0080	1.0.0	0080	permitted variation	Tests must not require a particular function-6 direct-output result value.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0081	1.0.0	0081	positive predicate	C=06h with E=FFh selects the nonblocking input path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0082	1.0.0	0082	positive predicate	With no input ready, the call does not wait and returns 00h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0083	1.0.0	0083	positive predicate	A deterministically supplied character is returned in A and consumed from the console input source.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0084	1.0.0	0084	positive predicate	Input characters are returned without formatted-input echo or control-character processing.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0085	1.0.0	0085	positive predicate	With no input available, function 11 returns zero.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0086	1.0.0	0086	permitted variation	Require zero when not ready and nonzero when ready; vary/accept exact nonzero.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0087	1.0.0	0087	permitted variation	Do not assert retention or exact BIOS input-call count in baseline.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0088	1.0.0	0088	permitted variation	Test Function 6's direct zero/nonzero input behavior without preconditioning on private retained state.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0089	1.0.0	0089	anti-requirement	Do not require the E=FEh branch or its observed zero result.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0090	1.0.0	0090	anti-requirement	Do not test DRI private variable locations or representation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0091	1.0.0	0091	positive predicate	C=01h selects Console Input.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0092	1.0.0	0092	positive predicate	With no character available, function 1 does not return until input becomes available.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0093	1.0.0	0093	positive predicate	A deterministically supplied character is returned in A; common return aliases are tested separately.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0094	1.0.0	0094	positive predicate	A representative graphic character is returned and echoed once.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0095	1.0.0	0095	positive predicate	Input CR is returned as 0Dh and echoed.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0096	1.0.0	0096	positive predicate	Input LF is returned as 0Ah and echoed.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0097	1.0.0	0097	positive predicate	Input backspace is returned as 08h and echoed.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0098	1.0.0	0098	positive predicate	At known logical columns, A=09h and the echo contains the spaces required to reach the next eight-column stop.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0099	1.0.0	0099	positive predicate	A representative ordinary control such as Ctrl-A is returned unchanged without console output.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0100	1.0.0	0100	positive predicate	Function-1 echo exhibits the required shared formatting behavior across relevant calls.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0101	1.0.0	0101	positive predicate	Verify with a deterministic scrolling-input harness; manually timed keyboard input is not sufficient evidence.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0102	1.0.0	0102	positive predicate	With printer echo active, eligible echo appears at CONOUT and LIST after identical formatting; expanded TAB spaces are duplicated individually.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0103	1.0.0	0103	profile-gated positive	Profile requires no toggle/no echo for Function-1 Ctrl-P.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI formatted-console profile
OR-0104	1.0.0	0104	profile-gated positive	Activate only with the profile; verify returned byte, echo, and BIOS call count.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI formatted-console profile
OR-0105	1.0.0	0105	anti-requirement	Do not test DRI private variable locations, helper-routine structure, or internal representation.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0106	1.0.0	0106	positive predicate	C=0Ah with DE addressing a valid buffer selects Read Console Buffer and operates on that buffer.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0107	1.0.0	0107	positive predicate	Test representative maximum values, including boundary values 1 and 255.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0108	1.0.0	0108	positive predicate	Compare DE+1 with the accepted edited length.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0109	1.0.0	0109	positive predicate	Verify accepted characters occupy DE+2 onward in order.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0110	1.0.0	0110	permitted variation	Do not require particular values beyond the returned count.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0111	1.0.0	0111	positive predicate	Supply data followed by CR and verify CR is absent from counted data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0112	1.0.0	0112	positive predicate	Supply data followed by LF and verify LF is absent from counted data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0113	1.0.0	0113	positive predicate	Fill the buffer exactly and verify return without another BIOS CONIN.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0114	1.0.0	0114	positive predicate	Verify representative ordinary input is both stored and echoed.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0115	1.0.0	0115	positive predicate	Verify the preceding character is absent from returned edited data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0116	1.0.0	0116	positive predicate	Verify the preceding character is absent from returned edited data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0117	1.0.0	0117	positive predicate	Verify first-character Ctrl-C invokes warm-start behavior.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0118	1.0.0	0118	positive predicate	Verify data on both physical lines is retained in one returned logical line.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0119	1.0.0	0119	positive predicate	Verify pre-Ctrl-R data remains in the returned line.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0120	1.0.0	0120	positive predicate	Verify only replacement data after Ctrl-U is returned.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0121	1.0.0	0121	positive predicate	Verify prior data is discarded after Ctrl-X.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0122	1.0.0	0122	positive predicate	Begin at a nonzero logical column and verify leftward editing respects it.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0123	1.0.0	0123	positive predicate	Do not require CR, LF, NUL, or another terminator after counted data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0124	1.0.0	0124	permitted variation	Do not require a function-10-specific A or HL value.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0125	1.0.0	0125	profile-gated positive	Profile test separately requires exclusion from data and printer-echo toggle.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI line-editor profile
OR-0126	1.0.0	0126	profile-gated positive	Profile test verifies subsequent echo reaches LIST as selected.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI line-editor profile
OR-0127	1.0.0	0127	profile-gated positive	Profile injects high-bit bytes; baseline leaves their treatment unspecified.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI line-editor profile
OR-0128	1.0.0	0128	profile-gated positive	Byte-exact correction transcript is profile-gated.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI line-editor presentation profile
OR-0129	1.0.0	0129	profile-gated positive	Profile test requires storage/display of noninitial Ctrl-C; baseline tests only documented initial Ctrl-C.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI line-editor profile
OR-0130	1.0.0	0130	anti-requirement	Do not test private DRI implementation structure.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0131	1.0.0	0131	anti-requirement	Do not require DRI's zero common result.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0132	1.0.0	0132	positive predicate	C=0Dh selects Reset Disk System.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0133	1.0.0	0133	positive predicate	Establish read-only state, call reset, and verify the read-only vector is cleared.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0134	1.0.0	0134	positive predicate	Reset from a non-A current drive and verify function 25 returns A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0135	1.0.0	0135	positive predicate	Set an alternate DMA address, reset, and verify subsequent default DMA use begins at 0080h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0136	1.0.0	0136	positive predicate	Establish multiple logged drives, reset, and verify only A remains online.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0137	1.0.0	0137	permitted variation	Do not require a function-13-specific result.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0138	1.0.0	0138	positive predicate	C=0Eh selects Select Disk.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0139	1.0.0	0139	positive predicate	Verify valid drive selections according to this mapping.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0140	1.0.0	0140	positive predicate	Select another drive and verify function 25.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
