id	title	origin	current	evidence reviewed	decision	applicability/profile	rationale	conformance impact
0154	Unavailable-drive presentation	I007	POLICY PENDING	B/I: BDOS/BIOS error paths; I026/I030/I033/I044	PROFILE REQUIRED	Interactive DRI error profile	Unavailable-drive interaction is provider/error-policy dependent; strict operator presentation is a selectable profile.	Profile injects absent drive and checks interaction/recovery; baseline requires coherent failure only.
0155	Function 13 user-number preservation	I007	POLICY PENDING	B/I: I007/I026/I030/I035; cross-layer state evidence	REQUIRED	Generic CP/M	Resetting disk state must not silently change the active user namespace; preservation is consequential and stable.	Set nonzero user, call Function 13, require the same Function-32 result.
0183	Failed-open FCB residual bytes	I008	POLICY PENDING	B/I: I008/I030/I031	NOT GUARANTEED	Generic baseline	Only the documented failure result is portable; exact FCB residue after failure is not.	Poison/snapshot diagnostically, but assert only documented effects.
0233	Exact EOF code	I010	POLICY PENDING	A: nonzero; B/I: DRI 01h; I027/I030	NOT GUARANTEED	Generic baseline	Applications must test nonzero; exact 01h has no demonstrated need sufficient to narrow the documented contract.	Require nonzero EOF and accept any nonzero value not otherwise promised.
0246	Physical read-error presentation	I010	POLICY PENDING	A/B/I: IG/AG, I015/I033/I044/I066	PROFILE REQUIRED	Interactive CP/M disk-error profile	The physical-error operator path is documented, while headless alternatives require explicit selection.	Profile injects read fault and checks prompt, ignore, abort, and recovery; no invented file code.
0276	Exact write failure codes	I011	POLICY PENDING	A table commentary; B/I: directory-full=01, allocation-full=02; I030/I031	REQUIRED	Generic CP/M	The distinction is stable, cheaply testable, and useful to applications diagnosing directory versus data exhaustion.	Exhaust directory and allocation separately; require 01h and 02h.
0283	Physical write-error presentation	I011	POLICY PENDING	A/B/I: IG/AG, I015/I033/I044/I066	PROFILE REQUIRED	Interactive CP/M disk-error profile	Physical write failures must remain distinct from logical full-disk codes; exact interaction belongs to the strict operator profile.	Profile injects pre/post-transfer write faults and checks operator path without rollback assumptions.
0309	Wildcard Rename	I012	POLICY PENDING	B/I: DRI wildcard behavior; A silence; I029/I031	OUTSIDE SCOPE	No generic or supported profile claim	Literal destination '?' expansion is undocumented, hazardous, and unsupported by significant dependency evidence.	Certification rejects any claim that generic CP/M promises wildcard Rename; ordinary unambiguous Rename remains required.
0314	Delete/Rename physical errors	I012	POLICY PENDING	A/B/I: I012/I015/I033/I044	PROFILE REQUIRED	Interactive CP/M disk-error profile	Controller failures use the common physical-error boundary, not new 19/23 return codes.	Profile fault-injects directory operations and checks common operator/recovery behavior.
0346	Allocation-full exact code	I013	POLICY PENDING	A table commentary; B/I: DRI 02h; I030	REQUIRED	Generic CP/M	This is the random-write counterpart of the useful sequential-write full-allocation distinction.	Exhaust blocks during random write and require 02h.
0354	Physical random-I/O errors	I013	POLICY PENDING	A/B/I: I013/I015/I033/I044/I066	PROFILE REQUIRED	Interactive CP/M disk-error profile	Random calls share the documented physical operator boundary; exact interaction is profile-qualified.	Profile injects random read/write faults separately from logical random codes.
0385	Fatal presentation	I014	POLICY PENDING	B/I: protection fatal handler; I033/I044	PROFILE REQUIRED	Interactive DRI protection-error profile	Nonreturning operator presentation and restart are fidelity behavior; structured/headless handling may be selected separately.	Profile verifies nonreturn, response handling, restart, and subsequent usable service.
0387	Exact diagnostic text	I014	POLICY PENDING	B/I: File R/O and R/O captured diagnostics	PROFILE REQUIRED	DRI diagnostic-presentation profile	Byte-exact vendor text is not baseline semantics but can be promised by a fidelity profile.	Exact capitalization/spacing tests activate only for the diagnostic profile.
0389	Automatic media-change protection	I014	POLICY PENDING	A/B: interface and BDOS source; no forced experiment	PROFILE REQUIRED	Removable-media/hardware profile	Detection depends on media/controller facilities and cannot be generic across systems.	A declared removable-media profile must supply deterministic change detection/protection tests.
0411	Exact Bad Sector text	I015	POLICY PENDING	A/B/I: guides, DRI, I015/I033/I044/I066	PROFILE REQUIRED	DRI diagnostic-presentation profile	Semantic Bad Sector presentation is required elsewhere; exact bytes are fidelity-profile material.	Profile performs byte-exact comparison; baseline checks semantic operator path.
0412	Accepted ignore characters	I015	POLICY PENDING	A: carriage return; B/I: any non-Ctrl-C	NOT GUARANTEED	Generic baseline	Baseline promises the documented carriage-return choice; acceptance of other characters is an incidental DRI extension.	Require CR ignore and Ctrl-C abort; do not certify other key acceptance.
0413	Structured physical-error extension	I015	POLICY PENDING	D: I015/I044/I058 extension boundary	OPTIONAL	Headless/structured-error extension	A distinct opt-in structured API can coexist with strict CP/M presentation but is not CP/M 2.2 compatibility.	Extension tests must prove opt-in isolation and unchanged baseline/profile behavior.
0435	Function 37 compatibility status	I017	POLICY PENDING	B/I: DRI BDOS and vectors; A silence; I026/I030	OPTIONAL	Undocumented Function-37 compatibility profile	The call is real and testable but absent from examined application manuals and lacks ecosystem dependency sufficient for baseline.	If selected, activate the full state-effect suite; otherwise return/out-of-range policy remains as declared.
0446	Active IOBYTE routing policy	I018	POLICY PENDING	A: AG explicitly optional; B/I: I018/I039	PROFILE REQUIRED	IOBYTE logical-device profile	Active routing is required only when the configured BIOS/device claim advertises it.	Profile declares inert or active mapping and tests every selected logical-to-physical route.
0472	LISTST result policy	I020	POLICY PENDING	A/B conflict: AG prose/comments and BIOS implementations; I020	PROFILE REQUIRED	BIOS/list-device profile	LISTST exists universally, but exact status encoding and absent-device policy belong to the configured BIOS/device contract.	Profile defines ready/not-ready encodings and tests both states; generic callers cannot assume one exact nonzero.
0476	CCP prompt presentation freedom	I021	POLICY PENDING	A silence beyond drive/readiness; B/I: DRI prompt	NOT GUARANTEED	Generic baseline	The drive-plus-> semantic prompt is required elsewhere; exact surrounding bytes and decoration remain implementation freedom.	Baseline uses semantic recognition, never byte-exact prompt decoration.
0478	DRI CCP command capacity	I021	POLICY PENDING	A tension: general 255 wording; B/I: DRI 127; I023/I028	PROFILE REQUIRED	Strict DRI CCP profile	Exact acquisition capacity is a CCP implementation/profile property; the DRI limit matters only to a strict reference claim.	Profile tests the 127-byte boundary and rejection; baseline publishes its supported documented capacity.
0480	TAB is not CCP SPACE	I021	POLICY PENDING	B/I: CCP parser and deterministic TAB cases; I024/I028	REQUIRED	Generic CP/M	Treating TAB as whitespace silently changes command tokens and scripts; byte-compatible parsing should retain the established distinction.	Submit SPACE and TAB separately; require TAB not to act as token-separating SPACE.
0490	Exact DRI command-error presentation	I021	POLICY PENDING	B/I: CCP comerr and corpus; A silence	PROFILE REQUIRED	DRI diagnostic-presentation profile	Semantic rejection/recovery is baseline; offending-token text and CR/LF placement are presentation fidelity.	Profile compares exact error transcript; baseline verifies rejection and reprompt only.
0506	Default FCB operand assignment	I023	POLICY PENDING	A/B/I: first FCB documented; second DRI prefix; I028	PROFILE REQUIRED	Strict DRI CCP/ecosystem	This is the later consolidated form of 0012 and must receive the same applicability.	One profile test jointly covers 0012 and 0506 without counting duplicate obligations.
0508	Tail capacity is bounded by CCP input acquisition	I023	POLICY PENDING	B/I: I021/I023/I024/I028	PROFILE REQUIRED	Declared CCP profile	Capacity depends on the selected command-acquisition profile, while count/tail semantics remain baseline.	Each CCP profile publishes and tests its accepted-line and resulting-tail limits.
0512	Post-termination drive and user policy	I024	POLICY PENDING	A/B/I: CCP/WBOOT, I007/I024/I026/I035/I045/I070A	PROFILE REQUIRED	CCP/lifecycle profile	Usable coherent return is baseline, but exact saved-drive/user persistence varies with CCP/WBOOT policy and must be declared.	Profile tests RET, Function 0, and JMP 0000h with changed drive/user state.
0523	Function 37 state-effect profile scope	I026/I069	POLICY PENDING	B/I: Function-37 vector effects; explicit 0435 cross-reference	OPTIONAL	Undocumented Function-37 compatibility profile	This is the conditional detail of optional entry 0435, not a second baseline decision.	Selecting 0435 activates 0523's inactive/current/multiple/read-only vector tests.
0580	Exact resident output presentation	I032	POLICY PENDING	B/I: CCP DIR/resident output; A semantic only; I047 corpus	PROFILE REQUIRED	DRI resident-presentation profile	Exact DIR layout and diagnostics are useful only for scripts or users selecting DRI presentation fidelity.	Profile corpus-tests exact layout/text; baseline tests semantic file listing and command result.
