id	title	I070 decision	recommended ledger disposition	required wording treatment	applicability/profile	evidence label
0309	Wildcard Rename	OUTSIDE SCOPE	NOT REQUIRED	state explicit exclusion from compatibility claim	No generic or supported profile claim	I070 POLICY PENDING RESOLUTION subsystem IG AG
0314	Delete/Rename physical errors	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Interactive CP/M disk-error profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0346	Allocation-full exact code	REQUIRED	REQUIRED	direct baseline requirement	Generic CP/M	I070 POLICY PENDING RESOLUTION subsystem IG AG
0354	Physical random-I/O errors	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Interactive CP/M disk-error profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0385	Fatal presentation	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Interactive DRI protection-error profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0387	Exact diagnostic text	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	DRI diagnostic-presentation profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0389	Automatic media-change protection	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Removable-media/hardware profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0411	Exact Bad Sector text	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	DRI diagnostic-presentation profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0412	Accepted ignore characters	NOT GUARANTEED	NOT GUARANTEED	replace exact assertion with permitted-variation wording where necessary	Generic baseline	I070 POLICY PENDING RESOLUTION subsystem IG AG
0413	Structured physical-error extension	OPTIONAL	NOT REQUIRED	state optional opt-in profile/extension applicability	Headless/structured-error extension	I070 POLICY PENDING RESOLUTION subsystem IG AG
0435	Function 37 compatibility status	OPTIONAL	NOT REQUIRED	state optional opt-in profile/extension applicability	Undocumented Function-37 compatibility profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0446	Active IOBYTE routing policy	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	IOBYTE logical-device profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0472	LISTST result policy	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	BIOS/list-device profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0476	CCP prompt presentation freedom	NOT GUARANTEED	NOT GUARANTEED	replace exact assertion with permitted-variation wording where necessary	Generic baseline	I070 POLICY PENDING RESOLUTION subsystem IG AG
0478	DRI CCP command capacity	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Strict DRI CCP profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0480	TAB is not CCP SPACE	REQUIRED	REQUIRED	direct baseline requirement	Generic CP/M	I070 POLICY PENDING RESOLUTION subsystem IG AG
0490	Exact DRI command-error presentation	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	DRI diagnostic-presentation profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0506	Default FCB operand assignment	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Strict DRI CCP/ecosystem	I070 POLICY PENDING RESOLUTION subsystem IG AG
0508	Tail capacity is bounded by CCP input acquisition	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	Declared CCP profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0512	Post-termination drive and user policy	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	CCP/lifecycle profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0523	Function 37 state-effect profile scope	OPTIONAL	NOT REQUIRED	state optional opt-in profile/extension applicability	Undocumented Function-37 compatibility profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
0580	Exact resident output presentation	PROFILE REQUIRED	REQUIRED	rewrite as conditional named-profile requirement	DRI resident-presentation profile	I070 POLICY PENDING RESOLUTION subsystem IG AG
