ledger_entry	case_id	case_version	oracle_id	oracle_version	parent_test_id	executable	module_case	requirement	classification	applicability	rc1_dependencies	selected_profile_ids	safety_class	required_fixture	implementation_status	proposed_reuse
0011	MEM-001-P0011	1.0.0	OR-0011	1.0.0	MEM-001	ENTRYTST.COM	ENT-007	First default FCB location	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0012	MEM-005-P0012	1.0.0	OR-0012	1.0.0	MEM-005	ENTRYTST.COM	ENT-008	Second default FCB at 006Ch	PROFILE REQUIRED	the Strict DRI CCP/ecosystem	MEM-001; BIOS-001 as applicable	DRI-CCP-ECO	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0013	CCP-003-P0013	1.0.0	OR-0013	1.0.0	CCP-003	CCPTEST.COM	CCP-005	Default FCB drive-prefix parsing	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0014	MEM-001-P0014	1.0.0	OR-0014	1.0.0	MEM-001	ENTRYTST.COM	ENT-009	Default FCB wildcard expansion	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0015	MEM-005-P0015	1.0.0	OR-0015	1.0.0	MEM-005	ENTRYTST.COM	ENT-010	Default FCB case and padding	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0016	CCP-003-P0016	1.0.0	OR-0016	1.0.0	CCP-003	CCPTEST.COM	CCP-006	Default FCB unopened control fields	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0017	MEM-001-P0017	1.0.0	OR-0017	1.0.0	MEM-001	ENTRYTST.COM	ENT-011	Command-tail count location	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0018	MEM-005-P0018	1.0.0	OR-0018	1.0.0	MEM-005	ENTRYTST.COM	ENT-012	Command-tail character location	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0019	CCP-003-P0019	1.0.0	OR-0019	1.0.0	CCP-003	CCPTEST.COM	CCP-007	Leading blank in command tail	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0020	MEM-001-P0020	1.0.0	OR-0020	1.0.0	MEM-001	ENTRYTST.COM	ENT-013	Uppercase command-tail representation	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0021	MEM-005-P0021	1.0.0	OR-0021	1.0.0	MEM-005	ENTRYTST.COM	ENT-014	NUL after counted command tail	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0022	CCP-003-P0022	1.0.0	OR-0022	1.0.0	CCP-003	CCPTEST.COM	CCP-008	Bytes following command-tail terminator	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0023	MEM-001-P0023	1.0.0	OR-0023	1.0.0	MEM-001	ENTRYTST.COM	ENT-015	Default DMA address	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0024	MEM-005-P0024	1.0.0	OR-0024	1.0.0	MEM-005	ENTRYTST.COM	ENT-016	Command-tail/default-DMA overlap	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0025	CCP-003-P0025	1.0.0	OR-0025	1.0.0	CCP-003	CCPTEST.COM	CCP-009	Program termination through JMP 0000h	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0026	MEM-001-P0026	1.0.0	OR-0026	1.0.0	MEM-001	ENTRYTST.COM	ENT-017	Program termination through BDOS function 0	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0027	MEM-005-P0027	1.0.0	OR-0027	1.0.0	MEM-005	ENTRYTST.COM	ENT-018	RET termination	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0028	CCP-003-P0028	1.0.0	OR-0028	1.0.0	CCP-003	CCPTEST.COM	CCP-010	Valid entry return word	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0029	MEM-001-P0029	1.0.0	OR-0029	1.0.0	MEM-001	ENTRYTST.COM	ENT-019	Exact entry SP	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0030	MEM-005-P0030	1.0.0	OR-0030	1.0.0	MEM-005	ENTRYTST.COM	ENT-020	Exact entry return address	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0031	CCP-003-P0031	1.0.0	OR-0031	1.0.0	CCP-003	CCPTEST.COM	CCP-011	General-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BDOS public/file/console prerequisites used by case	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0032	MEM-001-P0032	1.0.0	OR-0032	1.0.0	MEM-001	ENTRYTST.COM	ENT-021	Z80 extended-register entry state	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0033	MEM-005-P0033	1.0.0	OR-0033	1.0.0	MEM-005	ENTRYTST.COM	ENT-022	Entry flags and interrupt state	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0034	BDOS-CALL-001-P0034	1.0.0	OR-0034	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-001	Exact BIOS/BDOS vector targets	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0035	BDOS-CALL-001-P0035	1.0.0	OR-0035	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-002	BDOS function selector in C	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0036	BDOS-CALL-001-P0036	1.0.0	OR-0036	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-003	BDOS function-specific input in DE/E	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0037	BDOS-CALL-001-P0037	1.0.0	OR-0037	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-004	Byte result in A	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0038	BDOS-CALL-001-P0038	1.0.0	OR-0038	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-005	Word result in HL	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0039	BDOS-CALL-001-P0039	1.0.0	OR-0039	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-006	Normal-return alias A=L	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0040	BDOS-CALL-001-P0040	1.0.0	OR-0040	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-007	Normal-return alias B=H	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0041	BDOS-CALL-001-P0041	1.0.0	OR-0041	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-008	CP/M 2.2 BDOS selector range	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0042	BDOS-CALL-001-P0042	1.0.0	OR-0042	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-009	Out-of-range BDOS result	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0043	BDOS-CALL-001-P0043	1.0.0	OR-0043	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-010	Caller SP restored on returning BDOS calls	REQUIRED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0044	BDOS-CALL-001-P0044	1.0.0	OR-0044	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-011	DRI private BDOS stack mechanism	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0045	BDOS-CALL-001-P0045	1.0.0	OR-0045	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-012	AF preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0046	BDOS-CALL-001-P0046	1.0.0	OR-0046	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-013	BC preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0047	BDOS-CALL-001-P0047	1.0.0	OR-0047	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-014	DE preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0048	BDOS-CALL-001-P0048	1.0.0	OR-0048	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-015	HL preservation across BDOS	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0049	BDOS-CALL-001-P0049	1.0.0	OR-0049	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-016	Z80-only and alternate-register preservation	NOT GUARANTEED	generic CP/M 2.2 baseline	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0050	BDOS-CALL-001-P0050	1.0.0	OR-0050	1.0.0	BDOS-CALL-001	BDOSTEST.COM	BDO-017	Valid-call C becomes input E	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	profile manifest; restored fixture	CPM22-BASE	SAFE_READ_ONLY	none beyond runnable CP/M environment	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0051	BDOS-CON-001-P0051	1.0.0	OR-0051	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-001	Observed BDOS return flags	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0052	BDOS-CON-001-P0052	1.0.0	OR-0052	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-002	Function 2 character source	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0053	BDOS-CON-001-P0053	1.0.0	OR-0053	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-003	Function 2 treats '$' as ordinary data	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0054	BDOS-CON-001-P0054	1.0.0	OR-0054	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-004	Function 9 string address	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0055	BDOS-CON-001-P0055	1.0.0	OR-0055	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-005	Function 9 '$' termination	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0056	BDOS-CON-001-P0056	1.0.0	OR-0056	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-006	Function 9 terminator is not emitted	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0057	BDOS-CON-001-P0057	1.0.0	OR-0057	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-007	Function 9 empty string	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0058	BDOS-CON-001-P0058	1.0.0	OR-0058	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-008	Function 9 scans across ordinary control characters	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0059	BDOS-CON-001-P0059	1.0.0	OR-0059	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-009	Function 2 uses formatted console output	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0060	BDOS-CON-001-P0060	1.0.0	OR-0060	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-010	Function 9 uses formatted console output	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0061	BDOS-CON-001-P0061	1.0.0	OR-0061	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-011	Shared formatted-output state	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0062	BDOS-CON-001-P0062	1.0.0	OR-0062	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-012	TAB expansion	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0063	BDOS-CON-001-P0063	1.0.0	OR-0063	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-013	Function 2 participates in scrolling control	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0064	BDOS-CON-001-P0064	1.0.0	OR-0064	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-014	Function 9 participates in scrolling control	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0065	BDOS-CON-001-P0065	1.0.0	OR-0065	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-015	Function 2 participates in active printer echo	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0066	BDOS-CON-001-P0066	1.0.0	OR-0066	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-016	Function 9 participates in active printer echo	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0067	BDOS-CON-001-P0067	1.0.0	OR-0067	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-017	Function 2 has no function-specific return value	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0068	BDOS-CON-001-P0068	1.0.0	OR-0068	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-018	Function 9 has no function-specific return value	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0069	BDOS-CON-001-P0069	1.0.0	OR-0069	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-019	Exact logical-column update rules	PROFILE REQUIRED	the DRI formatted-console profile	MEM-001; BIOS-001 as applicable	DRI-CONSOLE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0070	BDOS-CON-001-P0070	1.0.0	OR-0070	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-020	LF resets DRI logical column	PROFILE REQUIRED	the DRI formatted-console profile	MEM-001; BIOS-001 as applicable	DRI-CONSOLE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0071	BDOS-CON-001-P0071	1.0.0	OR-0071	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-021	CR does not reset DRI logical column	PROFILE REQUIRED	the DRI formatted-console profile	MEM-001; BIOS-001 as applicable	DRI-CONSOLE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0072	BDOS-CON-001-P0072	1.0.0	OR-0072	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-022	Pending-key buffering during formatted output	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0073	BDOS-CON-001-P0073	1.0.0	OR-0073	1.0.0	BDOS-CON-001	CONSTEST.COM	CON-023	Ctrl-C behavior after output pause	NOT GUARANTEED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0074	BDOS-CON-002-P0074	1.0.0	OR-0074	1.0.0	BDOS-CON-002	CONSTEST.COM	CON-024	DRI private formatted-output implementation state	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0075	BDOS-CON-005-P0075	1.0.0	OR-0075	1.0.0	BDOS-CON-005	CONSTEST.COM	CON-025	Function 6 direct-output selection	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0076	BDOS-CON-002-P0076	1.0.0	OR-0076	1.0.0	BDOS-CON-002	CONSTEST.COM	CON-026	Function 6 direct-output character source	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0077	BDOS-CON-005-P0077	1.0.0	OR-0077	1.0.0	BDOS-CON-005	CONSTEST.COM	CON-027	Function 6 direct output does not expand TAB	REQUIRED	generic CP/M 2.2 baseline	MEM-001; BIOS-001 as applicable	CPM22-BASE	INTERACTIVE	console transcript and operator input where required	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
